section,content,reference,extr_ref_calls,extr_ref_prompt_tokens,extr_ref_completion_tokens,extr_ref_total_cost,parsed_references,rule,extr_rules_calls,extr_rules_prompt_tokens,extr_rules_completion_tokens,extr_rules_total_cost
A_Allgemeine_zahnärztliche_Leistungen,"Allgemeine Bestimmungen
1. Eine Beratungsgebühr nach der Nummer 1 des Gebührenverzeich -
nisses für ärztliche Leistungen €Anlage zur Gebührenordnung für Ärzte
in der am 01. Januar 2012 geltenden Fassung €darf im Behandlungsfall
nur einmal zusammen mit einer Gebühr für eine Leistung nach diesem
Gebührenverzeichnis und für eine Leistung aus den Abschnitten C bis O
des Gebührenverzeichnisses für ärztliche Leistungen berechnet werden.
Eine Beratungsgebühr nach der Nummer 3 des Gebührenverzeichnisses
für ärztliche Leistungen ist nur berechnungsfähig als einzige Leistung
oder im Zusammenhang mit einer Untersuchung nach der Nummer
0010 oder einer Untersuchung nach den Nummern 5 oder 6 des Ge -
bührenverzeichnisses für ärztliche Leistungen. Andere weitere Leistun -
gen dürfen neben der Leistung nach der Nummer 3 nicht berechnet
werden. Als Behandlungsfall gilt für die Behandlung derselben Erkran -
kung der Zeitraum eines Monats nach der jeweils ersten Inanspruch -
nahme des Zahnarztes.
2. Das bei Leistungen nach diesem Gebührenverzeichnis verwendete
Abformungsmaterial ist gesondert berechnungsfähig.
3. Material- und Laborkosten im Sinne dieses Gebührenverzeichnisses
umfassen Praxiskosten nach § 4 Absatz 3 und Auslagen für zahntechni -
sche Leistungen nach § 9 dieser Gebührenordnung.","References: § 4 Absatz 3, § 9",1,457,13,0.01449,"[{'section': '4', 'paragraph': '3', 'sentence': '3'}, {'section': '9'}]","Rule 1: A consultation fee under number 1 of the fee schedule for medical services can only be charged once per treatment case, in conjunction with a fee for a service according to this fee schedule and for a service from sections C to O of the fee schedule for medical services.",1,2594,225,0.09131999999999998
A_Allgemeine_zahnärztliche_Leistungen,"Allgemeine Bestimmungen
1. Eine Beratungsgebühr nach der Nummer 1 des Gebührenverzeich -
nisses für ärztliche Leistungen €Anlage zur Gebührenordnung für Ärzte
in der am 01. Januar 2012 geltenden Fassung €darf im Behandlungsfall
nur einmal zusammen mit einer Gebühr für eine Leistung nach diesem
Gebührenverzeichnis und für eine Leistung aus den Abschnitten C bis O
des Gebührenverzeichnisses für ärztliche Leistungen berechnet werden.
Eine Beratungsgebühr nach der Nummer 3 des Gebührenverzeichnisses
für ärztliche Leistungen ist nur berechnungsfähig als einzige Leistung
oder im Zusammenhang mit einer Untersuchung nach der Nummer
0010 oder einer Untersuchung nach den Nummern 5 oder 6 des Ge -
bührenverzeichnisses für ärztliche Leistungen. Andere weitere Leistun -
gen dürfen neben der Leistung nach der Nummer 3 nicht berechnet
werden. Als Behandlungsfall gilt für die Behandlung derselben Erkran -
kung der Zeitraum eines Monats nach der jeweils ersten Inanspruch -
nahme des Zahnarztes.
2. Das bei Leistungen nach diesem Gebührenverzeichnis verwendete
Abformungsmaterial ist gesondert berechnungsfähig.
3. Material- und Laborkosten im Sinne dieses Gebührenverzeichnisses
umfassen Praxiskosten nach § 4 Absatz 3 und Auslagen für zahntechni -
sche Leistungen nach § 9 dieser Gebührenordnung.","References: § 4 Absatz 3, § 9",1,457,13,0.01449,"[{'section': '4', 'paragraph': '3', 'sentence': '3'}, {'section': '9'}]",Rule 2: A consultation fee under number 3 of the fee schedule for medical services can only be charged as a single service or in conjunction with an examination under number 0010 or an examination under numbers 5 or 6 of the fee schedule for medical services. No other additional services may be charged alongside the service under number 3.,1,2594,225,0.09131999999999998
A_Allgemeine_zahnärztliche_Leistungen,"Allgemeine Bestimmungen
1. Eine Beratungsgebühr nach der Nummer 1 des Gebührenverzeich -
nisses für ärztliche Leistungen €Anlage zur Gebührenordnung für Ärzte
in der am 01. Januar 2012 geltenden Fassung €darf im Behandlungsfall
nur einmal zusammen mit einer Gebühr für eine Leistung nach diesem
Gebührenverzeichnis und für eine Leistung aus den Abschnitten C bis O
des Gebührenverzeichnisses für ärztliche Leistungen berechnet werden.
Eine Beratungsgebühr nach der Nummer 3 des Gebührenverzeichnisses
für ärztliche Leistungen ist nur berechnungsfähig als einzige Leistung
oder im Zusammenhang mit einer Untersuchung nach der Nummer
0010 oder einer Untersuchung nach den Nummern 5 oder 6 des Ge -
bührenverzeichnisses für ärztliche Leistungen. Andere weitere Leistun -
gen dürfen neben der Leistung nach der Nummer 3 nicht berechnet
werden. Als Behandlungsfall gilt für die Behandlung derselben Erkran -
kung der Zeitraum eines Monats nach der jeweils ersten Inanspruch -
nahme des Zahnarztes.
2. Das bei Leistungen nach diesem Gebührenverzeichnis verwendete
Abformungsmaterial ist gesondert berechnungsfähig.
3. Material- und Laborkosten im Sinne dieses Gebührenverzeichnisses
umfassen Praxiskosten nach § 4 Absatz 3 und Auslagen für zahntechni -
sche Leistungen nach § 9 dieser Gebührenordnung.","References: § 4 Absatz 3, § 9",1,457,13,0.01449,"[{'section': '4', 'paragraph': '3', 'sentence': '3'}, {'section': '9'}]","Rule 3: For the treatment of the same disease, the period of one month after the first consultation of the dentist is considered as a treatment case.",1,2594,225,0.09131999999999998
A_Allgemeine_zahnärztliche_Leistungen,"Allgemeine Bestimmungen
1. Eine Beratungsgebühr nach der Nummer 1 des Gebührenverzeich -
nisses für ärztliche Leistungen €Anlage zur Gebührenordnung für Ärzte
in der am 01. Januar 2012 geltenden Fassung €darf im Behandlungsfall
nur einmal zusammen mit einer Gebühr für eine Leistung nach diesem
Gebührenverzeichnis und für eine Leistung aus den Abschnitten C bis O
des Gebührenverzeichnisses für ärztliche Leistungen berechnet werden.
Eine Beratungsgebühr nach der Nummer 3 des Gebührenverzeichnisses
für ärztliche Leistungen ist nur berechnungsfähig als einzige Leistung
oder im Zusammenhang mit einer Untersuchung nach der Nummer
0010 oder einer Untersuchung nach den Nummern 5 oder 6 des Ge -
bührenverzeichnisses für ärztliche Leistungen. Andere weitere Leistun -
gen dürfen neben der Leistung nach der Nummer 3 nicht berechnet
werden. Als Behandlungsfall gilt für die Behandlung derselben Erkran -
kung der Zeitraum eines Monats nach der jeweils ersten Inanspruch -
nahme des Zahnarztes.
2. Das bei Leistungen nach diesem Gebührenverzeichnis verwendete
Abformungsmaterial ist gesondert berechnungsfähig.
3. Material- und Laborkosten im Sinne dieses Gebührenverzeichnisses
umfassen Praxiskosten nach § 4 Absatz 3 und Auslagen für zahntechni -
sche Leistungen nach § 9 dieser Gebührenordnung.","References: § 4 Absatz 3, § 9",1,457,13,0.01449,"[{'section': '4', 'paragraph': '3', 'sentence': '3'}, {'section': '9'}]",Rule 4: The impression material used for services according to this fee schedule can be charged separately.,1,2594,225,0.09131999999999998
A_Allgemeine_zahnärztliche_Leistungen,"Allgemeine Bestimmungen
1. Eine Beratungsgebühr nach der Nummer 1 des Gebührenverzeich -
nisses für ärztliche Leistungen €Anlage zur Gebührenordnung für Ärzte
in der am 01. Januar 2012 geltenden Fassung €darf im Behandlungsfall
nur einmal zusammen mit einer Gebühr für eine Leistung nach diesem
Gebührenverzeichnis und für eine Leistung aus den Abschnitten C bis O
des Gebührenverzeichnisses für ärztliche Leistungen berechnet werden.
Eine Beratungsgebühr nach der Nummer 3 des Gebührenverzeichnisses
für ärztliche Leistungen ist nur berechnungsfähig als einzige Leistung
oder im Zusammenhang mit einer Untersuchung nach der Nummer
0010 oder einer Untersuchung nach den Nummern 5 oder 6 des Ge -
bührenverzeichnisses für ärztliche Leistungen. Andere weitere Leistun -
gen dürfen neben der Leistung nach der Nummer 3 nicht berechnet
werden. Als Behandlungsfall gilt für die Behandlung derselben Erkran -
kung der Zeitraum eines Monats nach der jeweils ersten Inanspruch -
nahme des Zahnarztes.
2. Das bei Leistungen nach diesem Gebührenverzeichnis verwendete
Abformungsmaterial ist gesondert berechnungsfähig.
3. Material- und Laborkosten im Sinne dieses Gebührenverzeichnisses
umfassen Praxiskosten nach § 4 Absatz 3 und Auslagen für zahntechni -
sche Leistungen nach § 9 dieser Gebührenordnung.","References: § 4 Absatz 3, § 9",1,457,13,0.01449,"[{'section': '4', 'paragraph': '3', 'sentence': '3'}, {'section': '9'}]",Rule 5: Material and laboratory costs in the sense of this fee schedule include practice costs according to § 4 paragraph 3 and expenses for dental technical services according to § 9 of this fee schedule.,1,2594,225,0.09131999999999998
B_Prophylaktische_Leistungen,"Allgemeine Bestimmungen
Prophylaktische Leistungen nach Abschnitt B sind nur bei Einzelunterwei -
sung (Individualprophylaxe) berechnungsfähig; bei Gruppenunterwei -
sung (Gruppenprophylaxe) sind sie nicht berechnungsfähig.",The text does not mention any references to other paragraphs.,1,128,11,0.0045,,,1,670,5,0.0204
C_Konservierende_Leistungen,"Allgemeine Bestimmungen
Nur einmal verwendbare Nickel-Titan-Instrumente zur Wurzelkanalauf -
bereitung sind gesondert berechnungsfähig.",The text does not mention any references to other paragraphs.,1,99,11,0.00363,,,1,641,5,0.019530000000000002
D_Chirurgische_Leistungen,"Allgemeine Bestimmungen
1. Die primäre Wundversorgung (z.B. Reinigen der Wunde, Glätten des
Knochens, Umschneidung, Tamponieren, Wundverschluss ohne zusätz -
liche Lappenbildung, gegebenenfalls Fixieren eines plastischen Wund -
verbandes) ist Bestandteil der Leistungen nach Abschnitt D und nicht
gesondert berechnungsfähig.
2. Die Schaffung des operativen Zugangs ist Bestandteil der Leistungen
nach Abschnitt D und nicht gesondert berechnungsfähig.
3. Knochenersatzmaterialien sowie Materialien zur Förderung der Blutge -
rinnung oder der Geweberegeneration (z.B. Membranen) sowie zum Ver -
schluss von oberflächlichen Blutungen bei hämorrhagischen Diathesen
oder, wenn dies zum Schutz wichtiger anatomischer Strukturen (z.B. Ner -
ven) erforderlich ist, sowie atraumatisches Nahtmaterial oder nur einmal
verwendbare Explantationsfräsen, sind gesondert berechnungsfähig.",The text does not contain any references to other paragraphs.,1,324,11,0.0103799999999999,,,1,866,5,0.02628
E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,"und des Parodontiums
Allgemeine Bestimmungen
1. Die primäre Wundversorgung (z.B. Reinigen der Wunde, Glätten des
Knochens, Umschneidung, Tamponieren, Wundverschluss ohne zusätz -
liche Lappenbildung, gegebenenfalls Fixieren eines plastischen Wund -
verbandes) ist Bestandteil der Leistungen nach Abschnitt E und nicht
gesondert berechnungsfähig.
2. Knochenersatzmaterialien sowie Materialien zur Förderung der Blutge -
rinnung oder der Geweberegeneration (z.B. Membranen) sowie zum Ver -
schluss von oberflächlichen Blutungen bei hämorrhagischen Diathesen
oder, wenn dies zum Schutz wichtiger anatomischer Strukturen (z.B. Ner -
ven) erforderlich ist, sowie atraumatisches Nahtmaterial und Materialien
zur Fixierung von Membranen sind gesondert berechnungsfähig.",The text does not contain any references to other paragraphs.,1,292,11,0.0094199999999999,,"Rule 1: The primary wound care (e.g., cleaning the wound, smoothing the bone, incision, tamponade, wound closure without additional flap formation, possibly fixing a plastic wound dressing) is part of the services according to section E and cannot be billed separately.",1,834,132,0.03294
E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,"und des Parodontiums
Allgemeine Bestimmungen
1. Die primäre Wundversorgung (z.B. Reinigen der Wunde, Glätten des
Knochens, Umschneidung, Tamponieren, Wundverschluss ohne zusätz -
liche Lappenbildung, gegebenenfalls Fixieren eines plastischen Wund -
verbandes) ist Bestandteil der Leistungen nach Abschnitt E und nicht
gesondert berechnungsfähig.
2. Knochenersatzmaterialien sowie Materialien zur Förderung der Blutge -
rinnung oder der Geweberegeneration (z.B. Membranen) sowie zum Ver -
schluss von oberflächlichen Blutungen bei hämorrhagischen Diathesen
oder, wenn dies zum Schutz wichtiger anatomischer Strukturen (z.B. Ner -
ven) erforderlich ist, sowie atraumatisches Nahtmaterial und Materialien
zur Fixierung von Membranen sind gesondert berechnungsfähig.",The text does not contain any references to other paragraphs.,1,292,11,0.0094199999999999,,"Rule 2: Bone replacement materials as well as materials to promote blood coagulation or tissue regeneration (e.g., membranes) as well as to close superficial bleeding in hemorrhagic diatheses or, if necessary to protect important anatomical structures (e.g., nerves), as well as atraumatic suture material and materials for fixing membranes can be billed separately.",1,834,132,0.03294
E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,und des Parodontiums,The text provided does not contain any references to other paragraphs.,1,66,12,0.0027,,,1,608,5,0.01854
E_Leistungen_bei_Erkrankungen_der_Mundschleimhaut,und des Parodontiums,The text provided does not contain any references to other paragraphs.,1,66,12,0.0027,,,1,608,5,0.01854
G_Kieferorthopädische_Leistungen,"Allgemeine Bestimmungen
Die Leistungen nach den Nummern 6100, 6120, 6140 und 6150 beinhal -
ten auch die Material- und Laborkosten für Standardmaterialien wie
zum Beispiel unprogrammierte Edelstahlbrackets, unprogrammierte At -
tachments und Edelstahlbänder.
Werden darüber hinausgehende Materialien verwendet, können die
Mehrkosten für diese Materialien gesondert berechnet werden, wenn
dies vor der Verwendung mit dem Zahlungspflichtigen nach persönli -
cher Absprache schriftlich vereinbart worden ist. Diese Vereinbarung
hat Angaben über die voraussichtliche Höhe der einzelnen Material-
und Laborkosten und die Material- und Laborkosten der in Abzug zu
bringenden Standardmaterialien zu enthalten. In der Vereinbarung ist
darauf hinzuweisen, dass eine Erstattung durch Erstattungsstellen mög -
licherweise nicht im vollen Umfang gewährleistet ist.",The text does not contain any references to other paragraphs.,1,298,11,0.0096,,,1,840,5,0.0255
H_Eingliederung_von_Aufbissbehelfen_und_Schienen,"Allgemeine Bestimmungen
Endgültige Kronen, Brücken und Prothesen dürfen nicht als Aufbissbe -
helfe oder Schienen nach Abschnitt H berechnet werden.",References: Abschnitt H,1,103,5,0.00339,,,1,645,5,0.01965
J_Funktionsanalytische_und,funktionstherapeutische Leistungen,The text provided does not contain any references to other paragraphs.,1,70,12,0.00282,,,1,612,5,0.01866
J_Funktionsanalytische_und,funktionstherapeutische Leistungen,The text provided does not contain any references to other paragraphs.,1,70,12,0.00282,,,1,612,5,0.01866
